,E128,E16,E2,E32,E4,E64,E8,H128,H16,H2,H32,H4,H64,H8,dnabert-s,gg_tree_distances
E128,,0.9259312514348881,0.6940686659752413,0.9451529839286797,0.8000233392633211,0.9534867634640779,0.8914228720539322,0.9444695432667949,0.925294555128039,0.6104161656906629,0.9356730109873116,0.8413866221940682,0.9402224956466441,0.9094016204568085,0.2627130070918593,0.6544607113330018
E16,0.9259312514348881,,0.6925200728842053,0.9327555838940769,0.8021992784355944,0.920868074297787,0.8991073154507909,0.9341179519841899,0.9401880201973063,0.606464813234437,0.9328900715496536,0.8269082003252021,0.9295398830801405,0.9014892079459663,0.2573595088413305,0.6220463194219041
E2,0.6940686659752413,0.6925200728842053,,0.6873653403033595,0.7001815561672504,0.6792851067232691,0.6762438763568857,0.7070455536168405,0.6883198356969528,0.48739192445789553,0.6891501518364602,0.661837349849383,0.689670560848993,0.6874280246034049,0.13365816041459222,0.40797323525698836
E32,0.9451529839286797,0.9327555838940769,0.6873653403033595,,0.8009412421670173,0.9420017151174507,0.8939181148167841,0.948639050810567,0.9336293604269839,0.6175422538672405,0.9445257891145828,0.8462054810983146,0.9465592852414706,0.9128466335103471,0.26142989172689113,0.6617760896074818
E4,0.8000233392633211,0.8021992784355944,0.7001815561672504,0.8009412421670173,,0.793786572839883,0.8223895306769263,0.8088197400697761,0.8044865791529174,0.5293223188689526,0.8027711961343303,0.7890055132932576,0.8009426156118447,0.8111317063299321,0.1867056445617485,0.5837862419973563
E64,0.9534867634640779,0.920868074297787,0.6792851067232691,0.9420017151174507,0.793786572839883,,0.8859963673762878,0.9395727559676685,0.921528644828916,0.605959458677425,0.93324554060668,0.8377000479670438,0.9370325559521014,0.9056558848944155,0.2711074690275596,0.6661740426867772
E8,0.8914228720539322,0.8991073154507909,0.6762438763568857,0.8939181148167841,0.8223895306769263,0.8859963673762878,,0.896178929861561,0.9049240806391365,0.5745457510725063,0.8945322216078251,0.8060559657882228,0.8922796518597479,0.9001215071603451,0.24221083183879136,0.6175656842113428
H128,0.9444695432667949,0.9341179519841899,0.7070455536168405,0.948639050810567,0.8088197400697761,0.9395727559676685,0.896178929861561,,0.9572976606827555,0.6434363437403864,0.969511624217117,0.8758005882989379,0.9706302062417688,0.9403273491638341,0.25664297083355836,0.677729486587164
H16,0.925294555128039,0.9401880201973063,0.6883198356969528,0.9336293604269839,0.8044865791529174,0.921528644828916,0.9049240806391365,0.9572976606827555,,0.6163317882183911,0.9543361419657731,0.8454583835008371,0.9501436234999584,0.9273481463045262,0.2666243860003116,0.6569378153556893
H2,0.6104161656906629,0.606464813234437,0.48739192445789553,0.6175422538672405,0.5293223188689526,0.605959458677425,0.5745457510725063,0.6434363437403864,0.6163317882183911,,0.6227704876255721,0.6765946002899057,0.6260170060556854,0.6365955624746061,0.13488273503515405,0.42329164863079816
H32,0.9356730109873116,0.9328900715496536,0.6891501518364602,0.9445257891145828,0.8027711961343303,0.93324554060668,0.8945322216078251,0.969511624217117,0.9543361419657731,0.6227704876255721,,0.8616425376741191,0.9632541611132613,0.9313346113687245,0.2615156295116993,0.6834756714421821
H4,0.8413866221940682,0.8269082003252021,0.661837349849383,0.8462054810983146,0.7890055132932576,0.8377000479670438,0.8060559657882228,0.8758005882989379,0.8454583835008371,0.6765946002899057,0.8616425376741191,,0.8669694127571055,0.8945314365384466,0.22521326212903897,0.6666483286952342
H64,0.9402224956466441,0.9295398830801405,0.689670560848993,0.9465592852414706,0.8009426156118447,0.9370325559521014,0.8922796518597479,0.9706302062417688,0.9501436234999584,0.6260170060556854,0.9632541611132613,0.8669694127571055,,0.9356108870058443,0.2611168205490992,0.6789341963404761
H8,0.9094016204568085,0.9014892079459663,0.6874280246034049,0.9128466335103471,0.8111317063299321,0.9056558848944155,0.9001215071603451,0.9403273491638341,0.9273481463045262,0.6365955624746061,0.9313346113687245,0.8945314365384466,0.9356108870058443,,0.24534387805848898,0.6621352745076504
dnabert-s,0.2627130070918593,0.2573595088413305,0.13365816041459222,0.26142989172689113,0.1867056445617485,0.2711074690275596,0.24221083183879136,0.25664297083355836,0.2666243860003116,0.13488273503515405,0.2615156295116993,0.22521326212903897,0.2611168205490992,0.24534387805848898,,0.2953341447050291
gg_tree_distances,0.6544607113330018,0.6220463194219041,0.40797323525698836,0.6617760896074818,0.5837862419973563,0.6661740426867772,0.6175656842113428,0.677729486587164,0.6569378153556893,0.42329164863079816,0.6834756714421821,0.6666483286952342,0.6789341963404761,0.6621352745076504,0.2953341447050291,
